AÑO ESTRENO;PELÍCULA ;GÉNERO;SUBGÉNERO ;DIRECTOR;ACTOR PRINCIPAL;PRODUCTORA/ESTUDIO;LUGAR
2019;Ford v. Ferrari;Drama;Deportivo;James Mangold;Matt Damon;20th Century Studios;Nominada
2018;Green Book;Drama;Comedia;Peter Farrelly;Viggo Mortensen;Universal Pictures;Ganadora
2018;Black Panther;Acción;Superheroes;Ryan Coogler;Chadwick Boseman;Walt Disney Pictures;Nominada
2018;BlacKkKlansman;Drama;Crimen;Spike Lee;John David Washington;Focus Features;Nominada
2018;Bohemian Rhapsody;Drama;Biográfico;Bryan Singer;Rami Malek;20th Century Fox;Nominada
2018;The Favorite;Drama;Sátira;Yorgos Lanthimos;Olivia Colman;Searchlight Pictures;Nominada
2018;Roma;Drama;Biográfico;Alfonso Cuarón;Yalitza Aparicio;Netflix;Nominada
2018;A Star is Born;Drama;Romance;Bradley Cooper;Lady Gaga;Warner Bros.;Nominada
2018;Vice;Drama;Comedia;Adam McKay;Christian Bale;Annapurna Pictures;Nominada
2017;The Shape of the Water;Fantasía;Drama;Guillermo del Toro;Sally Hawkins;Searchlight Pictures;Ganadora
2017;Three Billboards Outside Ebbing;Drama;Crimen;Martin McDonagh;Frances McDormand;Searchlight Pictures;Nominada
2017;Call Me By Your Name;Drama;Romance;Luca Guadagnino;Timothée Chalamet;Sony Pictures Classics;Nominada
2017;Get Out;Terror ;Psicológico;Jordan Peele;Daniel Kaluuya;Universal Pictures;Nominada
2017;Lady Bird;Comedia;Drama;Greta Gerwig;Saoirse Ronan;A24;Nominada
2017;Phantom Thread;Drama;Romance;Paul Thomas Anderson;Daniel Day-Lewis;Focus Features;Nominada
2017;The Post;Drama;Histórico;Steven Spielberg;Meryl Streep;20th Century Fox;Nominada
2017;Dunkirk;Drama;Bélico;Christopher Nolan;Fionn Whitehead;Warner Bros.;Nominada
2017;Darkest Hour;Drama;Biográfico;Joe Wright;Gary Oldman;Focus Features;Nominada
2016;Moonlight;Drama;Social;Barry Jenkins;Trevante Rhodes;A24;Ganadora
2016;La La land;Musical;Drama romántico;Damien Chazelle;Emma Stone;Lionsgate;Nominada
2016;Hacksaw Ridge;Drama;Bélico;Mel Gibson;Andrew Garfield;Lionsgate;Nominada
2016;Hell or High Water;Drama;Crimen;David Mackenzie;Chris Pine;Lionsgate;Nominada
2016;Arrival;Ciencia ficción;Drama;Denis Villeneuve;Amy Adams;Paramount Pictures;Nominada
2016;Hidden Figures;Drama;Biográfico;Theodore Melfi;Taraji P. Henson;20th Century Fox;Nominada
2016;Lion;Drama;Biográfico;Garth Davis;Dev Patel;The Weinstein Company;Nominada
2016;Manchester By the Sea;Drama;Familiar;Kenneth Lonergan;Casey Affleck;Amazon Studios;Nominada
2016;Fences;Drama;Teatro;Denzel Washington;Denzel Washington;Paramount Pictures;Nominada
2015;Spotlight;Drama;Periodístico;Tom McCarthy;Mark Ruffalo;Open Road Films;Ganadora
2015;The Revenant;Drama;Aventura;Alejandro G. Iñárritu;Leonardo DiCaprio;20th Century Fox;Nominada
2015;Mad Max: Fury Road;Acción;Postapocalíptico;George Miller;Tom Hardy;Warner Bros.;Nominada
2015;Room;Drama;Psicológico;Lenny Abrahamson;Brie Larson;A24;Nominada
2015;Bridge of Spies;Drama;Histórico;Steven Spielberg;Tom Hanks;Walt Disney Pictures;Nominada
2015;Brooklyn;Drama;Romance;John Crowley;Saoirse Ronan;Searchlight Pictures;Nominada
2015;The Martian;Ciencia ficción;Aventura;Ridley Scott;Matt Damon;20th Century Fox;Nominada
2015;The Big Short;Comedia;Sátira económica;Adam McKay;Christian Bale;Paramount Pictures;Nominada
2014;Birdman;Comedia;Sátira;Alejandro G. Iñárritu;Michael Keaton;Searchlight Pictures;Ganadora
2014;Boyhood;Drama;Coming of age;Richard Linklater;Ellar Coltrane;IFC Films;Nominada
2014;The Grand Budapest Hotel;Comedia;Aventura;Wes Anderson;Ralph Fiennes;Searchlight Pictures;Nominada
2014;The Imitation Game;Drama;Biográfico;Morten Tyldum;Benedict Cumberbatch;The Weinstein Company;Nominada
2014;American Sniper;Drama;Bélico;Clint Eastwood;Bradley Cooper;Warner Bros.;Nominada
2014;The Theory of Everything;Drama;Biográfico;James Marsh;Eddie Redmayne;Focus Features;Nominada
2014;Whiplash;Drama;Musical;Damien Chazelle;Miles Teller;Sony Pictures Classics;Nominada
2014;Selma;Drama;Biográfico;Ava DuVernay;David Oyelowo;Paramount Pictures;Nominada
2013;12 Years a Slave;Drama;Histórico;Steve McQueen;Chiwetel Ejiofor;Searchlight Pictures;Ganadora
2013;Capitain Phillips;Drama;Basado en hechos;Paul Greengrass;Tom Hanks;Sony Pictures;Nominada
2013;Dallas Buyers Club;Drama;Biográfico;Jean-Marc Vallée;Matthew McConaughey;Focus Features;Nominada
2013;Gravity;Ciencia ficción;Supervivencia;Alfonso Cuarón;Sandra Bullock;Warner Bros.;Nominada
2013;Her;Drama;Romance;Spike Jonze;Joaquin Phoenix;Warner Bros.;Nominada
2013;Nebraska;Drama;Comedia;Alexander Payne;Bruce Dern;Paramount Pictures;Nominada
2013;Philomena;Drama;Biográfico;Stephen Frears;Judi Dench;The Weinstein Company;Nominada
2013;American Hustle;Drama;Crimen;David O. Russell;Amy Adams;Sony Pictures;Nominada
2013;The Wolf of Wall Street;Drama;Biográfico;Martin Scorsese;Leonardo DiCaprio;Paramount Pictures;Nominada
2012;Argo;Drama;Histórico;Ben Affleck;Ben Affleck;Warner Bros.;Ganadora
2012;Amour;Drama;Romance;Michael Haneke;Jean-Louis Trintignant;Sony Pictures Classics;Nominada
2012;Beasts of the Southern Wild;Drama;Fantasía;Benh Zeitlin;Quvenzhané Wallis;Searchlight Pictures;Nominada
2012;Django;Western;Acción;Quentin Tarantino;Jamie Foxx;The Weinstein Company;Nominada
2012;Les Misérables;Musical;Drama;Tom Hooper;Hugh Jackman;Universal Pictures;Nominada
2012;Life of Pi;Aventura ;Fantasía;Ang Lee;Suraj Sharma;20th Century Fox;Nominada
2012;Lincoln;Drama;Biográfico;Steven Spielberg;Daniel Day-Lewis;Walt Disney Pictures;Nominada
2012;Silver Linings Playbook;Comedia;Drama;David O. Russell;Jennifer Lawrence;The Weinstein Company;Nominada
2012;Zero Dark Thirty;Drama;Thriller;Kathryn Bigelow;Jessica Chastain;Sony Pictures;Nominada
2011;The Artist;Comedia;Drama;Michel Hazanavicius;Jean Dujardin;The Weinstein Company;Ganadora
2011;Hugo;Aventura ;Familiar;Martin Scorsese;Asa Butterfield;Paramount Pictures;Nominada
2011;Moneyball;Drama;Deportivo;Bennett Miller;Brad Pitt;Sony Pictures;Nominada
2011;The Descendants;Drama;Familiar;Alexander Payne;George Clooney;Searchlight Pictures;Nominada
2011;The Tree of Life;Drama;Filosófico;Terrence Malick;Brad Pitt;Searchlight Pictures;Nominada
2011;Midnight in Paris;Comedia;Romance;Woody Allen;Owen Wilson;Sony Pictures Classics;Nominada
2011;The Help;Drama;Histórico;Tate Taylor;Viola Davis;Walt Disney Pictures;Nominada
2011;War Horse;Drama;Bélico;Steven Spielberg;Jeremy Irvine;Walt Disney Pictures;Nominada
2011;Extremely Loud.  Incredible Close;Drama;Familiar;Stephen Daldry;Thomas Horn;Warner Bros.;Nominada
2010;The King´s Speech;Drama;Biográfico;Tom Hooper;Colin Firth;The Weinstein Company;Ganadora
2010;The Social Network;Drama;Biográfico;Darren Aronofsky;Jesse Eisenberg;Sony Pictures;Nominada
2010;The Figther;Drama;Biográfico;David O. Russell;Mark Wahlberg;Paramount Pictures;Nominada
2010;Black Swan;Drama;Psicológico;Christopher Nolan;Natalie Portman;Searchlight Pictures;Nominada
2010;Inception;Ciencia ficción;Acción;Lisa Cholodenko;Leonardo DiCaprio;Warner Bros.;Nominada
2010;Toy Story 3;Animación;Aventura;Danny Boyle;Woody (voz de Tom Hanks);Walt Disney Pictures;Nominada
2010;127 Hours;Drama;Biográfico;David Fincher;James Franco;Searchlight Pictures;Nominada
2010;Winter´s Bone;Drama;Crimen;Lee Unkrich;Jennifer Lawrence;Roadside Attractions;Nominada
2010;True Grit;Western;Aventura;Joel Coen & Ethan Coen;Jeff Bridges;Paramount Pictures;Nominada
2010;The Kids Are All Right;Comedia;Familiar;Debra Granik;Annette Bening;Focus Features;Nominada
2009;The Hurt Locker;Drama;Bélico;Kathryn Bigelow;Jeremy Renner;Summit Entertainment;Ganadora
2009;Avatar ;Ciencia ficción;Aventura;James Cameron;Sam Worthington;20th Century Fox;Nominada
2009;District 9;Ciencia ficción;Acción;Neill Blomkamp;Sharlto Copley;Sony Pictures;Nominada
2009;An Education;Drama;Romance;Lone Scherfig;Carey Mulligan;Sony Pictures Classics;Nominada
2009;The Blind Side;Drama;Biográfico;John Lee Hancock;Sandra Bullock;Warner Bros.;Nominada
2009;A serious Man;Comedia;Tragicomedia;Joel Coen & Ethan Coen;Michael Stuhlbarg;Focus Features;Nominada
2009;Inglourious Bastards;Drama;Bélico;Quentin Tarantino;Brad Pitt;The Weinstein Company;Nominada
2009;Precious;Drama;Social;Lee Daniels;Gabourey Sidibe;Lionsgate;Nominada
2009;Up;Animación;Aventura;Pete Docter;Carl Fredricksen (voz de Ed Asner);Walt Disney Pictures;Nominada
2009;Up in the Air;Comedia;Romance;Jason Reitman;George Clooney;Paramount Pictures;Nominada
2008;Slumdog Millionaire;Drama;Romance;Danny Boyle;Dev Patel;Searchlight Pictures;Ganadora
2008;Frost/Nixon;Drama;Histórico;Ron Howard;Frank Langella;Universal Pictures;Nominada
2008;The Curious Case of Benjamin Button;Drama;Fantasía;David Fincher;Brad Pitt;Paramount Pictures;Nominada
2008;Milk;Drama;Biográfico;Gus Van Sant;Sean Penn;Focus Features;Nominada
2008;The Reader;Drama;Romance;Stephen Daldry;Kate Winslet;The Weinstein Company;Nominada
2007;No Country for Old Men;Drama;Crimen;Joel Coen / Ethan Coen;Josh Brolin;Paramount Pictures;Ganadora
2007;Michael Clayton;Drama;Thriller;Tony Gilroy;George Clooney;Warner Bros.;Nominada
2007;Atonement;Drama;Romance;Joe Wright;Keira Knightley;Focus Features;Nominada
2007;There Will Be Blood;Drama;Histórico;Paul Thomas Anderson;Daniel Day-Lewis;Paramount Pictures;Nominada
2007;Juno;Comedia;Drama;Jason Reitman;Elliot Page;Searchlight Pictures;Nominada
2006;The Departed;Drama;Crimen;Martin Scorsese;Leonardo DiCaprio;Warner Bros.;Ganadora
2006;Babel;Drama;Coral;Alejandro González Iñárritu;Brad Pitt;Paramount Pictures;Nominada
2006;Little Miss Sunshine;Comedia;Drama;Jonathan Dayton / Valerie Faris;Abigail Breslin;Searchlight Pictures;Nominada
2006;Letters from Iwo Jima;Drama;Bélico;Clint Eastwood;Ken Watanabe;Warner Bros.;Nominada
2006;The Queen;Drama;Biográfico;Stephen Frears;Helen Mirren;The Weinstein Company;Nominada
2005;Crash;Drama;Social;Paul Haggis;Sandra Bullock;Lionsgate;Ganadora
2005;Good Night and Good Luck;Histórico;Drama;George Clooney;David Strathairn;Warner Independent Pictures;Nominada
2005;Capote;Drama;Biográfico;Bennett Miller;Philip Seymour Hoffman;Sony Pictures Classics;Nominada
2005;Munich;Drama;Histórico;Steven Spielberg;Eric Bana;Universal Pictures;Nominada
2005;Brokeback Mountain;Drama;Romance;Ang Lee;Heath Ledger;Focus Features;Nominada
2004;Million Dollar Baby;Drama;Deportivo;Clint Eastwood;Hilary Swank;Warner Bros.;Ganadora
2004;The Aviator;Drama;Biográfico;Martin Scorsese;Leonardo DiCaprio;Warner Bros.;Nominada
2004;Finding Neverland;Drama;Fantasía;Marc Forster;Johnny Depp;Miramax;Nominada
2004;Sideways;Comedia ;Drama;Alexander Payne;Paul Giamatti;Searchlight Pictures;Nominada
2004;Ray;Drama;Biográfico;Taylor Hackford;Jamie Foxx;Universal Pictures;Nominada
2003;The Lord of the Rings: The Return of the King;Fantasía;Aventura;Peter Jackson;Elijah Wood;New Line Cinema;Ganadora
2003;Lost in Translation;Drama;Romance;Sofia Coppola;Bill Murray;Focus Features;Nominada
2003;Mystic River;Drama;Crimen;Clint Eastwood;Sean Penn;Warner Bros.;Nominada
2003;Master and Commander: The Far Side of the World;Drama;Aventura;Peter Weir;Russell Crowe;20th Century Fox;Nominada
2003;Seabiscuit;Drama;Deportivo;Gary Ross;Tobey Maguire;Universal Pictures;Nominada
2002;Chicago;Musical;Crimen;Rob Marshall;Renée Zellweger;Miramax;Ganadora
2002;Gangs of New York;Drama;Histórico;Martin Scorsese;Leonardo DiCaprio;Miramax;Nominada
2002;The Hours;Drama;Psicológico;Stephen Daldry;Nicole Kidman;Paramount Pictures;Nominada
2002;The Lord of the Rings: The Two Towers;Fantasía;Aventura;Peter Jackson;Elijah Wood;New Line Cinema;Nominada
2002;The Pianist;Drama;Bélico;Roman Polanski;Adrien Brody;Focus Features;Nominada
2001;A Beautiful Mind;Drama;Biográfico;Ron Howard;Russell Crowe;Universal Pictures;Ganadora
2001;Gosford Park;Drama;Crimen;Robert Altman;Maggie Smith;Focus Features;Nominada
2001;In the Bedroom;Drama;Familiar;Todd Field;Sissy Spacek;Miramax;Nominada
2001;The Lord of the Rings: The Fellowship of the Ring;Fantasía;Aventura;Peter Jackson;Elijah Wood;New Line Cinema;Nominada
2001;Moulin Rouge!;Musical;Romance;Baz Luhrmann;Nicole Kidman;20th Century Fox;Nominada
2000;Gladiator;Acción;Aventura;Ridley Scott;Russell Crowe;Universal Pictures;Ganadora
2000;Chocolat;Drama;Romance;Lasse Hallström;Juliette Binoche;Miramax;Nominada
2000;Erin Brockovich;Drama;Biográfico;Steven Soderbergh;Julia Roberts;Universal Pictures;Nominada
2000;Traffic;Drama;Crimen;Steven Soderbergh;Michael Douglas;USA Films;Nominada
2000;Crouching Tiger. Hidden Dragon;Acción;Aventura;Ang Lee;Chow Yun-fat;Sony Pictures Classics;Nominada
1999;American Beauty;Drama;Sátira social;Sam Mendes;Kevin Spacey;DreamWorks Pictures;Ganadora
1999;The Cider House Rules;Drama;Romance;Lasse Hallström;Tobey Maguire;Miramax;Nominada
1999;The Green Mile;Drama;Fantasía;Frank Darabont;Tom Hanks;Warner Bros.;Nominada
1999;The Insider;Drama;Periodístico;Michael Mann;Al Pacino;Walt Disney Pictures;Nominada
1999;The Sixth Sense;Terror;Suspenso;M. Night Shyamalan;Bruce Willis;Buena Vista Pictures;Nominada
1998;Shakespeare in Love;Romance;Comedia romántica ;John Madden;Gwyneth Paltrow;Miramax;Ganadora
1998;Elizabeth;Drama;Drama histórico;Shekhar Kapur;Cate Blanchett;PolyGram Filmed Entertainment;Nominada
1998;Saving Private Ryan;Bélico;Drama bélico ;Steven Spielberg;Tom Hanks;Paramount Pictures;Nominada
1998;Thin Red Line;Bélico;Drama bélico ;Terrence Malick;Jim Caviezel;20th Century Fox;Nominada
1998;La Vita´e Belle;Drama;Comedia dramática ;Roberto Benigni;Roberto Benigni;Miramax;Nominada
1997;Titanic;Romance;Drama;James Cameron;Leonardo DiCaprio;20th Century Fox;Ganadora
1997;As Good as it Gets;Comedia;Comedia dramática ;James L. Brooks;Jack Nicholson;Sony Pictures;Nominada
1997;The Full Monty;Comedia;Comedia dramática ;Peter Cattaneo;Robert Carlyle;Searchlight Pictures;Nominada
1997;Good Will Hunting;Drama;Drama psicológico;Gus Van Sant;Matt Damon;Miramax;Nominada
1997;L.A Confidential;Cine negro;Thriller ;Curtis Hanson;Kevin Spacey;Warner Bros.;Nominada
1996;The English Patient;Drama;Romance;Anthony Minghella;Ralph Fiennes;Miramax;Ganadora
1996;Fargo;Thriller;Crimen ;Joel Coen;Frances McDormand;Gramercy Pictures;Nominada
1996;Jerry Maguire;Comedia;Drama deportivo;Cameron Crowe;Tom Cruise;Sony Pictures;Nominada
1996;Secrets and Lies;Drama;Drama social ;Mike Leigh;Brenda Blethyn;October Films;Nominada
1996;Shine;Drama;Biográfico ;Scott Hicks;Geoffrey Rush;Fine Line Features;Nominada
1995;Braveheart;Épico;Histórico ;Mel Gibson;Mel Gibson;Paramount Pictures;Ganadora
1995;Apolo 13;Drama;Histórico;Ron Howard;Tom Hanks;Universal Pictures;Nominada
1995;Babe;Familiar;Comedia;Chris Noonan;James Cromwell;Universal Pictures;Nominada
1995;Il postino;Drama;Romance;Michael Radford;Massimo Troisi;Miramax;Nominada
1995;Sense and Sensibility;Romance;Drama de época;Ang Lee;Emma Thompson;Columbia Pictures;Nominada
1994;Forrest Gump;Comedia;Drama;Robert Zemeckis;Tom Hanks;Paramount Pictures;Ganadora
1994;Four  Weddings and a Funeral;Comedia;Comedia romántica;Mike Newell;Hugh Grant;Gramercy Pictures;Nominada
1994;Pulp Fiction;Crimen;Comedia negra;Quentin Tarantino;John Travolta;Miramax;Nominada
1994;Quiz Show;Drama;Histórico;Robert Redford;Ralph Fiennes;Hollywood Pictures;Nominada
1994;The Shawshank Redemption;Drama;Drama carcelario;Frank Darabont;Tim Robbins;Columbia Pictures;Nominada
1993;Schindler's List;Drama;Histórico;Steven Spielberg;Liam Neeson;Universal Pictures;Ganadora
1993;The Fugitive;Thriller;Acción;Andrew Davis;Harrison Ford;Warner Bros.;Nominada
1993;In The Name of the Father;Drama;Judicial;Jim Sheridan;Daniel Day-Lewis;Universal Pictures;Nominada
1993;The Piano;Drama;Romance;Jane Campion;Holly Hunter;Miramax;Nominada
1993;Remains of the Days;Drama;Romance;James Ivory;Anthony Hopkins;Columbia Pictures;Nominada
1992;Unforgiven;Western;Drama;Clint Eastwood;Clint Eastwood;Warner Bros.;Ganadora
1992;The Crying Game;Drama;Thriller ;Neil Jordan;Stephen Rea;Miramax;Nominada
1992;A Few Good Men;Drama;Judicial;Rob Reiner;Tom Cruise;Columbia Pictures;Nominada
1992;Howards End;Drama;Romance;James Ivory;Anthony Hopkins;Columbia Pictures;Nominada
1992;Scent of a Woman;Drama;Drama personal;Martin Brest;Al Pacino;Universal Pictures;Nominada
1991;The Silence of the Lambs;Thriller;Psicológico;Jonathan Demme;Jodie Foster;Orion Pictures;Ganadora
1991;Beauty and the Beast;Animación;Musical;Gary Trousdale / Kirk Wise;Bella;Walt Disney Pictures;Nominada
1991;Bugsy;Drama;Crimen;Barry Levinson;Warren Beatty;TriStar Pictures;Nominada
1991;J.F.K ;Drama;Histórico;Oliver Stone;Kevin Costner;Warner Bros.;Nominada
1991;The Prince of Tides;Drama;Romance;Barbra Streisand;Barbra Streisand;Columbia Pictures;Nominada
1990;Dances With Wolves;Western;Drama;Kevin Costner;Kevin Costner;Orion Pictures;Ganadora
1990;The Godfather Part III;Crimen;Drama;Francis Ford Coppola;Al Pacino;Paramount Pictures;Nominada
1990;Ghost;Fantasía;Romance;Jerry Zucker;Patrick Swayze;Paramount Pictures;Nominada
1990;Goodfellas;Crimen;Drama;Martin Scorsese;Ray Liotta;Warner Bros.;Nominada
1990;Awakenings;Drama;Biográfica;Penny Marshall;Robert De Niro;Columbia Pictures;Nominada
1989;Driving Miss Daisy;Drama;Comedia;Bruce Beresford;Jessica Tandy;Warner Bros.;Ganadora
1989;Born on the Fourth of July;Drama;Bélico;Oliver Stone;Tom Cruise;Universal Pictures;Nominada
1989;Dead Poets Society;Drama;Educación;Peter Weir;Robin Williams;Touchstone Pictures;Nominada
1989;Field of Dreams;Fantasía;Drama;Phil Alden Robinson;Kevin Costner;Universal Pictures;Nominada
1989;My Left Foot;Drama;Biográfico;Jim Sheridan;Daniel Day-Lewis;Miramax;Nominada
1988;Rain Man;Drama;Drama ;Barry Levinson;Dustin Hoffman;MGM;Ganadora
1988;The Accidental Tourist;Drama;Comedia ;Lawrence Kasdan;William Hurt;Warner Bros.;Nominada
1988;Dangerous Liaisons;Drama;Romance;Stephen Frears;Glenn Close;Warner Bros.;Nominada
1988;Mississippi Burning;Drama;Crimen;Alan Parker;Gene Hackman;Orion Pictures;Nominada
1988;Working Girl;Comedia;Comedia romántica;Mike Nichols;Melanie Griffith;20th Century Fox;Nominada
1987;The Last Emperor;Drama;Histórico;Bernardo Bertolucci;John Lone;Columbia Pictures;Ganadora
1987;Broadcast News;Comedia;Comedia dramática;James L. Brooks;Holly Hunter;20th Century Fox;Nominada
1987;Fatal Attraction;Thriller;Psicológico;Adrian Lyne;Glenn Close;Paramount Pictures;Nominada
1987;Hope and Glory;Drama;Comedia dramática;John Boorman;Sebastian Rice-Edwards;Columbia Pictures;Nominada
1987;Moonstruck;Comedia;Romance;Norman Jewison;Cher;MGM;Nominada
1986;Platoon;Bélico;Drama bélico;Oliver Stone;Charlie Sheen;Orion Pictures;Ganadora
1986;Children of a Lesser God;Drama;Romance;Randa Haines;William Hurt;Paramount Pictures;Nominada
1986;Hannah and Her Sisters;Comedia;Drama;Woody Allen;Mia Farrow;Orion Pictures;Nominada
1986;The Mission;Drama;Histórico;Roland Joffé;Robert De Niro;Warner Bros.;Nominada
1986;A Room with a View;Romance;Drama de época;James Ivory;Helena Bonham Carter;Goldcrest Films;Nominada
